Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms)
Hi Hi Bye Bye,Ezlynn,Ehmm..,Ezlynn,10/1/2003,245666
Cinta Bersatu,Liyana Jasmay,Cinta Bersatu,Liyana Jasmay,1/1/2017,235426
Kasanova,Stacy,Stay-C,Stacy,2011,223235
Hey Ladies,Rossa,Rossa,Rossa,14/11/2013,192546
Kembali Senyum,Izwan Pilus,Indah Lelapku,Izwan Pilus,1/1/2007,251245
Inilah Cinta - Akustik,Akim Ahmad,Akim,Akim Ahmad,12/2/2012,174120
Mungkir Bahagia,Hazami,Kata,Hazami,12/4/2005,265493
Jika Kau Tiada,"Erra Fazira, Yusry",Kini Kembali,Erra Fazira,16/1/2004,239226
Cinta,"Misha Omar, Jaclyn Victor",Misha Omar,Misha Omar,2/12/2008,280933
Bukan Cinta Biasa,Dato' Sri Siti Nurhaliza,E.M.A.S,Dato' Sri Siti Nurhaliza,3/3/2003,266983
Janji - Akustik,Akim Ahmad,Akim,Akim Ahmad,12/2/2012,263773
Bila Terasa Rindu,Dafi,Duyung OST,Various Artists,10/1/2007,238366
Asmara Ini,Fazley Yaakob,Asmara Ini,Fazley Yaakob,18/4/2005,268800
Ku Juga Mencintaimu - Version 2008,Saiful,Aku Ada Di Sini,Saiful,21/10/2008,263586
Indah Lelapku,Izwan Pilus,Indah Lelapku,Izwan Pilus,1/1/2007,277315
Seribu Tahun,Imran Ajmain,Dengan Secara Kebetulan,Imran Ajmain,28/10/2006,233573
Berhenti Berharap,Sheila On 7,Senandung Cinta 2,Various Artists,28/7/2008,341546
Kisah Dongeng,Stacy,Stay-C,Stacy,2011,228877
Bawa Ku Terbang,The Fabulous Cats,Hyperkosmik,The Fabulous Cats,11/8/2008,286440
Bila Aku Sudah Tiada,Hujan,Bila Aku Sudah Tiada,Hujan,1/1/2007,285446
Tipah Tertipu,Ruffedge,Tipah Tertipu,Ruffedge,1/1/2004,294200
Pop Ye Ye,"V.E., Joe Flizzow, Daly",V.E. & Friends,V.E.,10/4/2007,215826
Januari,Glenn Fredly,"Selamat Pagi, Dunia!",Glenn Fredly,24/4/2003,222160
